influencer_appearance,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
7,177,166,64,22,144,114,61,39,48,21,14,9,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,178,84,141,25,128,124,66,30,35,42,13,11,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,179,149,137,65,123,133,69,27,79,67,6,7,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,180,141,111,47,137,120,57,27,57,44,6,7,45,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,181,173,50,18,132,128,68,29,84,22,7,3,45,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,182,145,127,57,116,119,57,40,75,57,7,6,35,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,183,141,138,56,117,112,47,33,67,61,9,8,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,184,157,55,17,120,125,63,41,48,27,11,3,55,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,185,136,110,42,126,135,66,34,60,45,5,7,46,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,186,73,183,49,130,134,75,34,23,67,5,11,43,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,187,204,22,9,136,130,78,34,95,8,8,4,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,188,87,146,19,130,125,60,41,39,48,7,6,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,189,39,162,10,122,133,57,50,14,47,14,12,59,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,190,127,87,22,119,117,52,32,42,37,8,9,58,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,191,94,116,31,130,129,69,34,30,55,6,8,71,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,192,133,140,57,123,137,62,31,58,70,7,6,34,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,193,182,48,19,134,122,62,30,64,15,10,14,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,194,123,97,27,119,118,63,24,58,36,4,7,57,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,195,16,184,0,120,122,62,33,8,70,4,11,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,196,65,184,42,130,126,63,31,32,54,9,8,43,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,197,160,113,55,133,124,65,27,58,41,14,6,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,198,137,97,32,124,121,59,34,46,30,7,5,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
7,199,114,174,70,131,131,67,28,57,80,9,9,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
